Name,Score,Type,Episodes,Aired,Studios,Premiered
Gintama: The Semi-Final,8.46,Special,2,"Jan 15, 2021 to Jan 20, 2021",Bandai Namco Pictures,N/A
Given Movie 3: Umi e,8.46,Movie,1,"Sep 20, 2024",Lerche,N/A
Banana Fish,8.45,TV,24,"Jul 6, 2018 to Dec 21, 2018",MAPPA,Summer 2018
Chihayafuru 3,8.45,TV,24,"Oct 23, 2019 to Mar 25, 2020",Madhouse,Fall 2019
Kimi ni Todoke 3rd Season,8.45,ONA,5,"Aug 1, 2024",Production I.G,N/A
Owarimonogatari,8.45,TV,12,"Oct 4, 2015 to Dec 20, 2015",Shaft,Fall 2015
Pluto,8.45,ONA,8,"Oct 26, 2023",Studio M2,N/A
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie,1,"Apr 20, 2013",White Fox,N/A
Spy x Family,8.44,TV,12,"Apr 9, 2022 to Jun 25, 2022",Wit Studio,Spring 2022
Chainsaw Man,8.44,TV,12,"Oct 12, 2022 to Dec 28, 2022",MAPPA,Fall 2022
Doupo Cangqiong: Nian Fan,8.44,ONA,209,"Jul 31, 2022 to ?",Motion Magic,N/A
Grand Blue,8.44,TV,12,"Jul 14, 2018 to Sep 29, 2018",Zero-G,Summer 2018
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,TV,24,"Jan 10, 2015 to Jun 20, 2015",David Production,Winter 2015
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.44,TV,16,"Oct 2, 2024 to Mar 26, 2025",White Fox,Fall 2024
Zoku Owarimonogatari,8.43,TV,6,"May 19, 2019 to Jun 23, 2019",Shaft,Spring 2019
Golden Kamuy 3rd Season,8.43,TV,12,"Oct 5, 2020 to Dec 21, 2020",Geno Studio,Fall 2020
Haikyuu!!,8.43,TV,25,"Apr 6, 2014 to Sep 21, 2014",Production I.G,Spring 2014
Hunter x Hunter,8.43,TV,62,"Oct 16, 1999 to Mar 31, 2001",Nippon Animation,Fall 1999
Bungou Stray Dogs 4th Season,8.42,TV,13,"Jan 4, 2023 to Mar 29, 2023",Bones,Winter 2023
Gintama: Yorinuki Gintama-san on Theater 2D,8.42,Movie,2,"Aug 26, 2012",Sunrise,N/A
Karakai Jouzu no Takagi-san Movie,8.42,Movie,1,"Jun 10, 2022",Shin-Ei Animation,N/A
Kimetsu no Yaiba,8.42,TV,26,"Apr 6, 2019 to Sep 28, 2019",ufotable,Spring 2019
Kono Oto Tomare! Part 2,8.42,TV,13,"Oct 6, 2019 to Dec 29, 2019",Platinum Vision,Fall 2019
Koukaku Kidoutai: Stand Alone Complex,8.42,TV,26,"Oct 1, 2002 to Oct 1, 2003",Production I.G,Fall 2002
Mushishi Zoku Shou: Odoro no Michi,8.42,TV Special,1,"Aug 20, 2014",Artland,N/A
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,Movie,1,"Sep 29, 2018",Shuka,N/A
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,TV,12,"Jan 6, 2021 to Mar 24, 2021",White Fox,Winter 2021
Shingeki no Kyojin: Kuinaki Sentaku,8.42,OVA,2,"Dec 9, 2014 to Apr 9, 2015",Wit Studio,N/A
Tian Guan Cifu,8.42,ONA,11,"Oct 31, 2020 to Jan 2, 2021",Haoliners Animation League,N/A
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,Movie,1,"Sep 6, 2019",Kyoto Animation,N/A
Wu Liuqi: Xuanwu Guo Pian,8.42,ONA,10,"Jan 21, 2021 to May 5, 2021",Sharefun Studio,N/A
Saenai Heroine no Sodatekata Fine,8.41,Movie,1,"Oct 26, 2019",CloverWorks,N/A
Saiki Kusuo no Ψ-nan,8.41,TV,120,"Jul 4, 2016 to Dec 26, 2016",J.C.Staff,Summer 2016
Saiki Kusuo no Ψ-nan 2,8.41,TV,24,"Jan 17, 2018 to Jun 27, 2018",J.C.Staff,Winter 2018
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.41,Movie,1,"Aug 30, 2019",J.C.Staff,N/A
Mononoke,8.41,TV,12,"Jul 13, 2007 to Sep 28, 2007",Toei Animation,Summer 2007
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.41,TV,12,"Apr 8, 2024 to Jul 1, 2024",Studio Bind,Spring 2024
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,TV,12,"Jan 12, 2019 to Mar 30, 2019",A-1 Pictures,Winter 2019
Kamisama Hajimemashita: Kako-hen,8.40,OVA,4,"Aug 20, 2015 to Aug 19, 2016",TMS Entertainment,N/A
Natsume Yuujinchou Roku Specials,8.40,Special,2,"Sep 27, 2017 to Oct 25, 2017",Shuka,N/A
Jujutsu Kaisen 0 Movie,8.39,Movie,1,"Dec 24, 2021",MAPPA,N/A
Major S5,8.39,TV,25,"Jan 10, 2009 to Jun 27, 2009",SynergySP,Winter 2009
Ramayana: The Legend of Prince Rama,8.39,Movie,1,"Jan 15, 1993",Nippon Ramayana Film,N/A
Blue Giant,8.39,Movie,1,"Feb 17, 2023",Nut,N/A
Chiikawa,8.39,TV,N/A,"Apr 4, 2022 to ?",Doga Kobo,Spring 2022
Houseki no Kuni,8.39,TV,12,"Oct 7, 2017 to Dec 23, 2017",Orange,Fall 2017
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,Movie,1,"Feb 24, 2018",P.A. Works,N/A
Xian Ni,8.39,ONA,128,"Sep 25, 2023 to ?",BUILD DREAM,N/A
Violet Evergarden: Recollections,8.38,Special,1,"Oct 29, 2021",Kyoto Animation,N/A
Vivy: Fluorite Eye's Song,8.38,TV,13,"Apr 3, 2021 to Jun 19, 2021",Wit Studio,Spring 2021
Yuru Camp△ Movie,8.38,Movie,1,"Jul 1, 2022",C-Station,N/A
Josee to Tora to Sakana-tachi,8.38,Movie,1,"Dec 25, 2020",Bones,N/A
Kaze ga Tsuyoku Fuiteiru,8.38,TV,23,"Oct 3, 2018 to Mar 27, 2019",Production I.G,Fall 2018
Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,Movie,1,"Jan 18, 2019",Kinema Citrus,N/A
Mahou Shoujo Madoka★Magica,8.38,TV,12,"Jan 7, 2011 to Apr 22, 2011",Shaft,Winter 2011
Cowboy Bebop: Tengoku no Tobira,8.38,Movie,1,"Sep 1, 2001",Bones,N/A
Gintama°: Aizome Kaori-hen,8.38,OVA,2,"Aug 4, 2016 to Nov 4, 2016",Bandai Namco Pictures,N/A
3-gatsu no Lion,8.37,TV,22,"Oct 8, 2016 to Mar 18, 2017",Shaft,Fall 2016
Chihayafuru 2,8.37,TV,25,"Jan 12, 2013 to Jun 29, 2013",Madhouse,Winter 2013
Cross Game,8.37,TV,50,"Apr 5, 2009 to Mar 28, 2010",SynergySP,Spring 2009
Fruits Basket: Prelude,8.37,Movie,1,"Feb 18, 2022",TMS Entertainment,N/A
Girls Band Cry,8.37,TV,13,"Apr 6, 2024 to Jun 29, 2024",Toei Animation,Spring 2024
Haikyuu!! To the Top,8.37,TV,13,"Jan 11, 2020 to Apr 4, 2020",Production I.G,Winter 2020
Tunshi Xingkong 3rd Season,8.37,ONA,33,"Sep 14, 2022 to Apr 26, 2023",Sparkly Key Animation Studio,N/A
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,Movie,1,"Aug 8, 2009",ufotable,N/A
Karakai Jouzu no Takagi-san 3,8.37,TV,12,"Jan 8, 2022 to Mar 26, 2022",Shin-Ei Animation,Winter 2022
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie,1,"Oct 13, 2012",Shaft,N/A
Medalist,8.37,TV,13,"Jan 5, 2025 to Mar 30, 2025",ENGI,Winter 2025
Initial D First Stage,8.36,TV,26,"Apr 19, 1998 to Dec 6, 1998",Gallop,Spring 1998
K-On! Movie,8.36,Movie,1,"Dec 3, 2011",Kyoto Animation,N/A
Kaze no Tani no Nausicaä,8.36,Movie,1,"Mar 11, 1984",Topcraft,N/A
Kizumonogatari I: Tekketsu-hen,8.36,Movie,1,"Jan 8, 2016",Shaft,N/A
Barakamon,8.36,TV,12,"Jul 6, 2014 to Sep 28, 2014",Kinema Citrus,Summer 2014
Girls &amp;amp; Panzer: Saishuushou Part 4,8.36,Movie,1,"Oct 6, 2023",Actas,N/A
Shinseiki Evangelion,8.36,TV,26,"Oct 4, 1995 to Mar 27, 1996",Gainax,Fall 1995
Tunshi Xingkong 4th Season,8.36,ONA,123,"Oct 3, 2023 to ?",Sparkly Key Animation Studio,N/A
Yofukashi no Uta Season 2,8.36,TV,12,"Jul 4, 2025 to Sep 19, 2025",LIDENFILMS,Summer 2025
Tensei shitara Slime Datta Ken 2nd Season,8.35,TV,12,"Jan 12, 2021 to Mar 30, 2021",8bit,Winter 2021
Versailles no Bara,8.35,TV,40,"Oct 10, 1979 to Sep 3, 1980",Tokyo Movie Shinsha,Fall 1979
Violet Evergarden: Kitto &amp;quot;Ai&amp;quot; wo Shiru Hi ga Kuru no Darou,8.35,Special,1,"Jul 4, 2018",Kyoto Animation,N/A
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,TV,12,"Jul 10, 2020 to Sep 25, 2020",feel.,Summer 2020
Kimetsu no Yaiba: Mugen Ressha-hen,8.35,TV,7,"Oct 10, 2021 to Nov 28, 2021",ufotable,Fall 2021
Kono Subarashii Sekai ni Shukufuku wo! 3,8.35,TV,11,"Apr 10, 2024 to Jun 19, 2024",Drive,Spring 2024
Meitantei Conan Movie 26: Kurogane no Submarine,8.35,Movie,1,"Apr 14, 2023",TMS Entertainment,N/A
Non Non Biyori Nonstop,8.35,TV,12,"Jan 11, 2021 to Mar 29, 2021",SILVER LINK.,Winter 2021
Baccano!,8.35,TV,13,"Jul 27, 2007 to Nov 2, 2007",Brain&#039;s Base,Summer 2007
Douluo Dalu 2nd Season,8.35,ONA,237,"Dec 1, 2018 to Jun 10, 2023",Sparkly Key Animation Studio,N/A
Gintama: Shiroyasha Koutan,8.35,Special,1,"Sep 21, 2008",Sunrise,N/A
86,8.34,TV,11,"Apr 11, 2021 to Jun 20, 2021",A-1 Pictures,Spring 2021
Ashita no Joe,8.34,TV,79,"Apr 1, 1970 to Sep 29, 1971",Mushi Production,Spring 1970
Fumetsu no Anata e,8.34,TV,20,"Apr 12, 2021 to Aug 30, 2021",Brain&#039;s Base,Spring 2021
Hellsing Ultimate,8.34,OVA,10,"Feb 10, 2006 to Dec 26, 2012",Madhouse,N/A
Hibike! Euphonium 2,8.34,TV,13,"Oct 6, 2016 to Dec 29, 2016",Kyoto Animation,Fall 2016
IDOLiSH7 Third Beat! Part 2,8.34,TV,17,"Oct 2, 2022 to Feb 26, 2023",TROYCA,Fall 2022
Mushoku Tensei: Isekai Ittara Honki Dasu,8.34,TV,11,"Jan 11, 2021 to Mar 22, 2021",Studio Bind,Winter 2021
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA,1,"Feb 5, 2014",Brain&#039;s Base,N/A
Psycho-Pass,8.33,TV,22,"Oct 12, 2012 to Mar 22, 2013",Production I.G,Fall 2012
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33,TV,13,"Jul 8, 2020 to Sep 30, 2020",White Fox,Summer 2020
Wu Shan Wu Xing: Xichuan Huan Zi Lin,8.33,ONA,4,"Jul 26, 2023 to Aug 16, 2023",Samsara Animation Studio,N/A
Bakuman. 2nd Season,8.33,TV,25,"Oct 1, 2011 to Mar 24, 2012",J.C.Staff,Fall 2011
Bakemonogatari,8.32,TV,15,"Jul 3, 2009 to Jun 25, 2010",Shaft,Summer 2009
Bocchi the Rock! Movie,8.32,Movie,2,"Jun 7, 2024 to Aug 9, 2024",CloverWorks,N/A
Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV,13,"Apr 5, 2015 to Jun 28, 2015",ufotable,Spring 2015
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.32,Movie,12,"Mar 4, 2022 to May 13, 2022",Production I.G,N/A
Kidou Senshi Gundam: The Origin,8.32,OVA,6,"Feb 28, 2015 to May 5, 2018",Sunrise,N/A
Kiseijuu: Sei no Kakuritsu,8.32,TV,24,"Oct 9, 2014 to Mar 26, 2015",Madhouse,Fall 2014
One Outs,8.32,TV,25,"Oct 8, 2008 to Apr 1, 2009",Madhouse,Fall 2008
Usagi Drop,8.32,TV,11,"Jul 8, 2011 to Sep 16, 2011",Production I.G,Summer 2011
Romeo no Aoi Sora,8.31,TV,33,"Jan 15, 1995 to Dec 17, 1995",Nippon Animation,Winter 1995
Sasaki to Miyano Movie: Sotsugyou-hen,8.31,Movie,1,"Feb 17, 2023",Studio Deen,N/A
Tunshi Xingkong 2nd Season,8.31,ONA,26,"Dec 29, 2021 to Sep 7, 2022",Sparkly Key Animation Studio,N/A
Uchuu Senkan Yamato 2199,8.31,OVA,26,"May 25, 2012 to Oct 25, 2013",Xebec,N/A
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.31,Movie,1,"Mar 5, 2011",Shin-Ei Animation,N/A
Dr. Stone: New World Part 2,8.31,TV,11,"Oct 12, 2023 to Dec 21, 2023",TMS Entertainment,Fall 2023
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.31,Movie,12,"Sep 30, 2022 to Nov 25, 2022",Production I.G,N/A
Hunter x Hunter: Original Video Animation,8.31,OVA,8,"Jan 17, 2002 to Apr 17, 2002",Nippon Animation,N/A
Major S6,8.31,TV,25,"Apr 3, 2010 to Sep 25, 2010",SynergySP,Spring 2010
Natsume Yuujinchou Go Specials,8.31,Special,2,"Mar 30, 2017 to Apr 26, 2017",Shuka,N/A
NHK ni Youkoso!,8.31,TV,24,"Jul 10, 2006 to Dec 18, 2006",Gonzo,Summer 2006
Luo Xiaohei Zhanji (Movie),8.30,Movie,1,"Sep 7, 2019",HMCH,N/A
Natsume Yuujinchou,8.30,TV,13,"Jul 8, 2008 to Sep 30, 2008",Brain&#039;s Base,Summer 2008
Ookami to Koushinryou II,8.30,TV,12,"Jul 9, 2009 to Sep 24, 2009",Brain&#039;s Base,Summer 2009
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8.30,Movie,1,"Dec 1, 2023",CloverWorks,N/A
Shiguang Dailiren: Yingdu Pian,8.30,ONA,6,"Dec 27, 2024 to Jan 31, 2025",CMC Media,N/A
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.30,TV,12,"Jul 6, 2021 to Sep 21, 2021",8bit,Summer 2021
Boku dake ga Inai Machi,8.30,TV,12,"Jan 8, 2016 to Mar 25, 2016",A-1 Pictures,Winter 2016
Diamond no Ace: Second Season,8.30,TV,51,"Apr 6, 2015 to Mar 28, 2016",Production I.G,Spring 2015
Evangelion Movie 2: Ha,8.30,Movie,1,"Jul 27, 2009",Khara,N/A
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.29,TV,11,"Apr 15, 2011 to Jun 24, 2011",A-1 Pictures,Spring 2011
Beck,8.29,TV,26,"Oct 7, 2004 to Mar 31, 2005",Madhouse,Fall 2004
Given,8.29,TV,11,"Jul 12, 2019 to Sep 20, 2019",Lerche,Summer 2019
Initial D Final Stage,8.29,TV,4,"May 16, 2014 to Jun 22, 2014",SynergySP,Spring 2014
Katanagatari,8.29,TV,12,"Jan 26, 2010 to Dec 11, 2010",White Fox,Winter 2010
Kemono no Souja Erin,8.29,TV,50,"Jan 10, 2009 to Dec 26, 2009",Production I.G,Winter 2009
Kingdom 2nd Season,8.29,TV,39,"Jun 8, 2013 to Mar 2, 2014",Studio Pierrot,Summer 2013
Kuroko no Basket 3rd Season,8.29,TV,25,"Jan 11, 2015 to Jun 30, 2015",Production I.G,Winter 2015
Meitantei Conan Movie 06: Baker Street no Bourei,8.29,Movie,1,"Apr 20, 2002",TMS Entertainment,N/A
Redline,8.29,Movie,1,"Aug 14, 2009",Madhouse,N/A
Sakamichi no Apollon,8.29,TV,12,"Apr 13, 2012 to Jun 29, 2012",Tezuka Productions,Spring 2012
Steins;Gate: Oukoubakko no Poriomania,8.29,Special,1,"Feb 22, 2012",White Fox,N/A
Yuukoku no Moriarty Part 2,8.29,TV,13,"Apr 4, 2021 to Jun 27, 2021",Production I.G,Spring 2021
Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,TV,94,"Jan 10, 1996 to Sep 8, 1998",Gallop,Winter 1996
Tanoshii Muumin Ikka,8.28,TV,78,"Apr 12, 1990 to Oct 3, 1991",Telescreen,Spring 1990
Tokyo Godfathers,8.28,Movie,1,"Nov 8, 2003",Madhouse,N/A
Fanren Xiu Xian Chuan: Xinghai Feichi,8.28,ONA,48,"Nov 25, 2023 to Oct 19, 2024",Original Force,N/A
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.28,Movie,4,"Nov 29, 2019",Production I.G,N/A
Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.28,TV,12,"Oct 4, 2023 to Dec 20, 2023",Nexus,Fall 2023
Kino no Tabi: The Beautiful World,8.28,TV,13,"Apr 8, 2003 to Jul 8, 2003",A.C.G.T.,Spring 2003
Major: World Series,8.28,OVA,2,"Dec 16, 2011 to Jan 18, 2012",SynergySP,N/A
Naruto: Shippuuden,8.28,TV,500,"Feb 15, 2007 to Mar 23, 2017",Studio Pierrot,Winter 2007
Koukaku Kidoutai,8.27,Movie,1,"Nov 18, 1995",Production I.G,N/A
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.27,TV,25,"Oct 13, 2024 to Mar 30, 2025",C2C,Fall 2024
Shirobako,8.27,TV,24,"Oct 9, 2014 to Mar 26, 2015",P.A. Works,Fall 2014
Tenki no Ko,8.27,Movie,1,"Jul 19, 2019",CoMix Wave Films,N/A
Yuru Camp△,8.27,TV,12,"Jan 4, 2018 to Mar 22, 2018",C-Station,Winter 2018
Diamond no Ace: Act II,8.27,TV,52,"Apr 2, 2019 to Mar 31, 2020",Madhouse,Spring 2019
Doukyuusei,8.27,Movie,1,"Feb 20, 2016",A-1 Pictures,N/A
Fate/Zero,8.27,TV,13,"Oct 2, 2011 to Dec 25, 2011",ufotable,Fall 2011
Gin no Saji 2nd Season,8.27,TV,11,"Jan 10, 2014 to Mar 28, 2014",A-1 Pictures,Winter 2014
Gintama: Shinyaku Benizakura-hen,8.27,Special,1,"Dec 15, 2010",Sunrise,N/A
Dororo,8.26,TV,24,"Jan 7, 2019 to Jun 24, 2019",Tezuka Productions,Winter 2019
Dr. Stone,8.26,TV,24,"Jul 5, 2019 to Dec 13, 2019",TMS Entertainment,Summer 2019
Gyakkyou Burai Kaiji: Ultimate Survivor,8.26,TV,26,"Oct 3, 2007 to Apr 2, 2008",Madhouse,Fall 2007
Haikyuu!! Movie 4: Concept no Tatakai,8.26,Movie,1,"Sep 29, 2017",Production I.G,N/A
Hotarubi no Mori e,8.26,Movie,1,"Sep 17, 2011",Brain&#039;s Base,N/A
Kaijuu 8-gou,8.26,TV,12,"Apr 13, 2024 to Jun 29, 2024",Production I.G,Spring 2024
Sono Bisque Doll wa Koi wo Suru Season 2,8.26,TV,12,"Jul 6, 2025 to Sep 21, 2025",CloverWorks,Summer 2025
Space☆Dandy 2nd Season,8.26,TV,13,"Jul 6, 2014 to Sep 25, 2014",Bones,Summer 2014
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.26,TV Special,1,"Dec 3, 2015",White Fox,N/A
Tenkuu no Shiro Laputa,8.26,Movie,1,"Aug 2, 1986",Studio Ghibli,N/A
Tsubasa: Tokyo Revelations,8.26,OVA,3,"Nov 16, 2007 to Mar 17, 2008",Production I.G,N/A
Shinsekai yori,8.25,TV,25,"Sep 29, 2012 to Mar 23, 2013",A-1 Pictures,Fall 2012
